城市编码,城市,大类,中类,小类,名称,经度,纬度
450100,南宁市,汽车服务,汽车配件销售,汽车配件销售,南宁市万里国际汽配城,108.338654,22.839223
450100,南宁市,汽车服务,汽车配件销售,汽车配件销售,东盟国际汽配城,108.265467,22.772950
450100,南宁市,汽车服务,二手车交易,二手车交易,五象汽车生活广场,108.348610,22.721864
450100,南宁市,汽车服务,加油站,加油站,白沙加油站,108.335457,22.787940
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁中心东盟加油站,108.395024,22.801702
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁五象体育中心加油站,108.401425,22.758023
450100,南宁市,汽车服务,二手车交易,二手车交易,新畅行智慧二手车城,108.294006,22.875665
450100,南宁市,汽车服务,汽车服务相关,汽车服务相关,南宁耀大汽车超市,108.288682,22.875980
450100,南宁市,汽车服务,加油站,中国石油,中国石油金凤加油站,108.409473,22.824364
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁中心长湖加油站,108.368220,22.825963
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁中心竹溪加油站,108.373218,22.805526
450100,南宁市,汽车服务,汽车服务相关,汽车服务相关,东风本田汽车鑫广达特约销售服务店,108.249070,22.869207
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁南片机场园区3号加油站,108.201827,22.614142
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西交能石化蟠龙加油站,108.373003,22.778627
450100,南宁市,汽车服务,加油站,加油站,中化石油金能加油站,108.260312,22.803732
450100,南宁市,汽车服务,加油站,中国石化,中国石化中心南湖加油站,108.355140,22.812512
450100,南宁市,汽车服务,加油站,加油站,中国国际能源金安加油站,108.303326,22.795633
450100,南宁市,汽车服务,二手车交易,二手车交易,广西吉运二手车市场,108.297055,22.879240
450100,南宁市,汽车服务,加油站,中国石化,中国石化安吉加油站,108.298079,22.877808
450100,南宁市,汽车服务,加油站,加油站,中化石油北湖加油站,108.322668,22.843292
450100,南宁市,汽车服务,加油站,加油站,中航石化桃源加油站,108.333204,22.798900
450100,南宁市,汽车服务,加油站,中国石化,中国石化北环加油站,108.262168,22.853584
450100,南宁市,汽车服务,加油站,中国石化,中国石化加油站(白沙大道辅路),108.320123,22.781414
450100,南宁市,汽车服务,加油站,加油站,晨曦石油壮锦加油站,108.272750,22.788433
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁邕宁金海加油站,108.340809,22.717880
450100,南宁市,汽车服务,其它能源站,其它能源站,远迈石油科园CNG加油加气站,108.271348,22.869974
450100,南宁市,汽车服务,加油站,中国石化,中国石化南宁新桥运加油站,108.361571,22.838409
450100,南宁市,汽车服务,加油站,加油站,正达石化秀厢加油站,108.294790,22.854740
450100,南宁市,汽车服务,加油站,中国石化,中国石化加油站(大学西路辅路),108.228784,22.836057
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁南片南站西加油站,108.282884,22.776421
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁邕宁龙岗3加油站,108.471866,22.780027
450100,南宁市,汽车服务,加油站,加油站,太康石油青秀加油站,108.356429,22.794765
450100,南宁市,汽车服务,加油站,加油站,金壮石油高新加油站,108.271337,22.849432
450100,南宁市,汽车服务,加油站,加油站,南宁交投中民优能加油站,108.416354,22.847533
450100,南宁市,汽车服务,加油站,加油站,中化石油仙葫加油站,108.450554,22.804552
450100,南宁市,汽车服务,加油站,中国石化,中国石化南宁宁北加油站,108.321277,22.850820
450100,南宁市,汽车服务,加油站,加油站,中化石油加油站(留村站),108.261546,22.761234
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁邕宁新玉洞加油站,108.354768,22.708372
450100,南宁市,汽车服务,加油站,中国石油,中国石油丰达加油站,108.281738,22.870155
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁中心狮山加油站,108.329741,22.859233
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁南片堤路园加油站,108.247382,22.793450
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西交能宁威二星光加油站,108.312490,22.766940
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁西片陈东加油站,108.264518,22.837973
450100,南宁市,汽车服务,加油站,加油站,中化石油北湖北加油站,108.317750,22.869975
450100,南宁市,汽车服务,加油站,中国石油,中国石油南宁三屋加油站,108.426605,22.811037
450100,南宁市,汽车服务,加油站,中国石油,中国石油利福加油站,108.440164,22.767430
450100,南宁市,汽车服务,加油站,中国石油,中国石油南宁金源加油站,108.387705,22.699326
450100,南宁市,汽车服务,加油站,中国石化,中国石化新世龙加油站,108.447991,22.759018
450100,南宁市,汽车服务,加油站,中国石油,中国石油金凯加油站,108.284376,22.767832
450100,南宁市,汽车服务,加油站,加油站,晨曦石油宁阳加油站,108.211096,22.826906
450100,南宁市,汽车服务,其它能源站,其它能源站,中国石化南宁新阳综合加能站,108.296391,22.819663
450100,南宁市,汽车服务,加油站,中国石化,中国石化南宁南片石柱岭加油站,108.311087,22.783805
450100,南宁市,汽车服务,加油站,中国石油,中国石油可利加油站,108.253871,22.863149
450100,南宁市,汽车服务,加油站,中国石化,中国石化南宁交投凌铁加油站,108.330016,22.793320
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁中心邕武加油站,108.336272,22.830881
450100,南宁市,汽车服务,加油站,加油站,运德石油加油站,108.336348,22.860909
450100,南宁市,汽车服务,加油站,加油站,中化石油振兴加油站,108.266077,22.878663
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁南片机场高速加油站,108.270805,22.748707
450100,南宁市,汽车服务,加油站,加油站,广西交投三岸服务区上线加油站,108.468261,22.818582
450100,南宁市,汽车服务,加油站,加油站,邕武加油站,108.349499,22.899757
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁西片宁强加油站,108.300913,22.865137
450100,南宁市,汽车服务,加油站,中国石油,中国石油鲁班路加油站,108.283648,22.846618
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁西片清川加油站,108.253665,22.837101
450100,南宁市,汽车服务,汽车配件销售,汽车配件销售,东南亚国际汽配城,108.402977,22.881417
450100,南宁市,汽车服务,加油站,中国石油,中国石油东环加油站,108.365077,22.861849
450100,南宁市,汽车服务,加油站,加油站,盈德石油加油站,108.217238,22.828830
450100,南宁市,汽车服务,充电站,充电站,汽车充电站(南宁交投能源凤岭客运站充电站),108.416018,22.839431
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁武鸣里建加油站,108.173658,23.194880
450100,南宁市,汽车服务,二手车交易,二手车交易,金桥二手车市场,108.383704,22.868262
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁西片友爱加油站,108.317315,22.832803
450100,南宁市,汽车服务,加油站,中国石化,中国石化中心宁茂加油站,108.421928,22.878035
450100,南宁市,汽车服务,加油站,中国石油,中国石油南宁玉龙加油站,108.333352,22.730599
450100,南宁市,汽车服务,加油站,加油站,中投石化兰葛加油站,108.474768,22.910336
450100,南宁市,汽车服务,其它能源站,其它能源站,中国石化广西南宁邕宁新世乐加油加气站,108.368907,22.689218
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁西片宁威一加油站,108.282959,22.834564
450100,南宁市,汽车服务,汽车服务相关,汽车服务相关,一嗨租车(吴圩机场店),108.186816,22.599048
450100,南宁市,汽车服务,加油站,加油站,中国海油衡阳东加油站,108.356576,22.845721
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁南片沙井二加油站,108.252162,22.818377
450100,南宁市,汽车服务,加油站,中国石化,广影加油站,108.310642,22.843250
450100,南宁市,汽车服务,加油站,加油站,中化石油南宁创增加油站,108.490976,22.916140
450100,南宁市,汽车服务,加油站,加油站,中旺石化加油站(322国道),108.472969,22.911007
450100,南宁市,汽车服务,加油站,中国石油,中国石油金港加油站,108.306599,22.813767
450100,南宁市,汽车服务,加油站,中国石油,南宁交投中国石油加油站(铜鼓岭站),108.414444,22.801777
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁中心宁州加油站,108.338122,22.841505
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁南片亭洪加油站,108.292737,22.780098
450100,南宁市,汽车服务,加油站,中国石油,中国石油南宁交投加油站(江滨站),108.349827,22.791312
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁西片秀厢加油站,108.310171,22.890909
450100,南宁市,汽车服务,加油站,加油站,安远加油站(昆仑大道辅路),108.392724,22.869952
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁南片吴圩机场加油站,108.175200,22.614719
450100,南宁市,汽车服务,加油站,加油站,中国海油玉蟾加油站,108.368106,22.871219
450100,南宁市,汽车服务,加油站,加油站,中国海油邕大南路加油站,108.448981,22.744319
450100,南宁市,汽车服务,加油站,加油站,南宁交投良玉加油站,108.365655,22.725118
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西辉煌高岭下线加油站,108.288663,22.739835
450100,南宁市,汽车服务,加油站,中国石油,中国石油秀厢加油站,108.316045,22.856731
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁中心四塘二加油站,108.469806,22.909384
450100,南宁市,汽车服务,加油站,中国石化,中国石化智恒加油站,108.305600,22.814690
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁南片五一西加油站(五一路),108.269657,22.808239
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁中心振兴加油站,108.453941,22.862975
450100,南宁市,汽车服务,加油站,加油站,太康石油新邕加油站,108.480107,22.783289
450100,南宁市,汽车服务,加油站,中国石油,中国石油长福加油站,108.452562,22.797410
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁西片科宏宁达加油站,108.255972,22.840513
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁邕宁立新二加油站,108.466204,22.762670
450100,南宁市,汽车服务,加油站,中国石油,中国石油南宁交投金华加油站,108.330002,22.833596
450100,南宁市,汽车服务,加油站,加油站,中海瑞祥良信加油站,108.503645,22.725996
450100,南宁市,汽车服务,其它能源站,其它能源站,中国石化广西南宁中心金葫加油加气站,108.492617,22.787908
450100,南宁市,汽车服务,加油站,加油站,友谊石化加油站,108.289740,22.764047
450100,南宁市,汽车服务,加油站,加油站,中国海油东南加油站,108.257573,22.787630
450100,南宁市,汽车服务,汽车服务相关,汽车服务相关,神州租车吴圩国际机场T2航站楼服务点,108.186604,22.599228
450100,南宁市,汽车服务,加油站,中国石油,中国石油南宁友谊路加油站,108.294519,22.755247
450100,南宁市,汽车服务,加油站,加油站,中国海油龙华路北加油站,108.459072,22.776924
450100,南宁市,汽车服务,其它能源站,其它能源站,中国石化广西南宁西片万冠加油加气站,108.186291,22.823874
450100,南宁市,汽车服务,加油站,中国石油,中国石油南宁陈村加油站,108.225588,22.833082
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁隆安浪湾加油站,107.877556,23.045637
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西北投旺杰加油站,108.238092,22.798624
450100,南宁市,汽车服务,加油站,加油站,华远能源加油站,108.508196,22.920927
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西宁铁石化南宁中华路加油站,108.305003,22.820308
450100,南宁市,汽车服务,加油站,中国石化,中国石化广西南宁邕宁公司加油站,108.481587,22.753816
450100,南宁市,汽车服务,充电站,充电站,星星充电汽车充电站(南宁东站北广场充电站),108.411240,22.844720
450100,南宁市,汽车服务,加油站,中国石油,中国石油南宁交投茅桥便民加油站,108.369814,22.840769
450100,南宁市,汽车服务,加油站,中国石化,中国石化望天岭加油站,108.319010,22.903741
